SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	Freezer_Box	Yield1	Yield2	Yield
WUA_TM31	TotalMG	A	JepsonTop	72	1	12-02-2020	Wet	1	46.6	46	46.3
WUA_TM32	TotalMG	A	JepsonTop	72	2	12-02-2020	Wet	1	53	52	52.5
WUA_TM33	TotalMG	A	JepsonTop	72	3	12-02-2020	Wet	1	35	34.2	34.6
WUA_TM34	TotalMG	A	JepsonBot	72	1	12-02-2020	Wet	1	31.9	31.7	31.8
WUA_TM35	TotalMG	A	JepsonBot	72	2	12-02-2020	Wet	1	48.7	47.9	48.3
WUA_TM36	TotalMG	A	JepsonBot	72	3	12-02-2020	Wet	1	34.2	34.6	34.4
WUA_TM37	TotalMG	A	JepsonTop	120	1	12-04-2020	Wet	2	36.8	35.6	36.2
WUA_TM38	TotalMG	A	JepsonTop	120	2	12-04-2020	Wet	2	53	53	53
WUA_TM39	TotalMG	A	JepsonTop	120	3	12-04-2020	Wet	2	44.2	43.8	44
WUA_TM40	TotalMG	A	JepsonBot	120	1	12-04-2020	Wet	2	39.2	38.8	39
